src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,fwd_iat_min,tot_fwd_pkts,fwd_seg_size_min,target,
192.168.1.251,192.168.40.20,33310,1883,6,87.02278137,0,1,20,0,
192.168.1.105,192.168.40.20,31061,1883,6,102.519989,0,1,20,0,
192.168.1.11,192.168.40.20,50749,1883,6,118.2556152,0,1,20,0,
192.168.1.91,192.168.40.20,27361,1883,6,42.43850708,0,1,20,0,
192.168.1.29,192.168.40.20,56017,1883,6,75.57868958,0,1,20,0,
192.168.1.107,192.168.40.20,31975,1883,6,91.55273438,0,1,20,0,
192.168.1.200,192.168.40.20,22225,1883,6,107.2883606,0,1,20,0,
192.168.1.79,192.168.40.20,19228,1883,6,123.2624054,0,1,20,0,
192.168.1.202,192.168.40.20,63915,1883,6,36.4780426,0,1,20,0,
192.168.1.20,192.168.40.20,61891,1883,6,63.18092346,0,1,20,0,
192.168.1.254,192.168.40.20,28689,1883,6,75.340271,0,1,20,0,
192.168.1.220,192.168.40.20,33434,1883,6,87.26119995,0,1,20,0,
192.168.1.254,192.168.40.20,44854,1883,6,99.18212891,0,1,20,0,
192.168.1.136,192.168.40.20,2391,1883,6,7.152557373,0,1,20,0,
192.168.1.174,192.168.40.20,58100,1883,6,20.02716064,0,1,20,0,
192.168.1.173,192.168.40.20,38685,1883,6,32.66334534,0,1,20,0,
192.168.1.213,192.168.40.20,5627,1883,6,44.58427429,0,1,20,0,
192.168.1.18,192.168.40.20,8333,1883,6,55.07469177,0,1,20,0,
192.168.1.82,192.168.40.20,46374,1883,6,44.58427429,0,1,20,0,
192.168.1.51,192.168.40.20,41480,1883,6,0,0,1,20,0,
192.168.1.87,192.168.40.20,64704,1883,6,0,0,1,20,0,
192.168.1.110,192.168.40.20,26380,1883,6,0,0,1,20,0,
192.168.1.169,192.168.40.20,40987,1883,6,56.26678467,0,1,20,0,
192.168.1.182,192.168.40.20,38528,1883,6,0,0,1,20,0,
192.168.1.161,192.168.40.20,33099,1883,6,64.61143494,0,1,20,0,
192.168.1.54,192.168.40.20,308,1883,6,100.6126404,0,1,20,0,
192.168.1.111,192.168.40.20,18444,1883,6,119.6861267,0,1,20,0,
192.168.1.16,192.168.40.20,22267,1883,6,64.61143494,0,1,20,0,
192.168.1.130,192.168.40.20,47630,1883,6,66.75720215,0,1,20,0,
192.168.1.149,192.168.40.20,26365,1883,6,66.04194641,0,1,20,0,
192.168.1.243,192.168.40.20,58769,1883,6,22.64976501,0,1,20,0,
192.168.1.82,192.168.40.20,5048,1883,6,62.7040863,0,1,20,0,
192.168.1.149,192.168.40.20,31968,1883,6,14.30511475,0,1,20,0,
192.168.1.68,192.168.40.20,57854,1883,6,38.62380981,0,1,20,0,
192.168.1.197,192.168.40.20,23151,1883,6,50.54473877,0,1,20,0,
192.168.1.172,192.168.40.20,63500,1883,6,41.48483276,0,1,20,0,
192.168.1.196,192.168.40.20,37169,1883,6,45.77636719,0,1,20,0,
192.168.1.171,192.168.40.20,36394,1883,6,45.29953003,0,1,20,0,
192.168.1.181,192.168.40.20,54877,1883,6,70.09506226,0,1,20,0,
192.168.1.194,192.168.40.20,57751,1883,6,51.02157593,0,1,20,0,
192.168.1.86,192.168.40.20,28558,1883,6,38.38539124,0,1,20,0,
192.168.1.128,192.168.40.20,52000,1883,6,48.16055298,0,1,20,0,
192.168.1.166,192.168.40.20,10320,1883,6,53.16734314,0,1,20,0,
192.168.1.198,192.168.40.20,42519,1883,6,54.83627319,0,1,20,0,
192.168.1.76,192.168.40.20,57361,1883,6,52.69050598,0,1,20,0,
192.168.1.50,192.168.40.20,18238,1883,6,60.79673767,0,1,20,0,
192.168.1.152,192.168.40.20,43286,1883,6,80.58547974,0,1,20,0,
192.168.1.154,192.168.40.20,55123,1883,6,72.47924805,0,1,20,0,
192.168.1.238,192.168.40.20,19780,1883,6,25.27236938,0,1,20,0,
192.168.1.22,192.168.40.20,3098,1883,6,42.43850708,0,1,20,0,
192.168.1.69,192.168.40.20,11271,1883,6,66.28036499,0,1,20,0,
192.168.1.47,192.168.40.20,2587,1883,6,71.52557373,0,1,20,0,
192.168.1.120,192.168.40.20,25010,1883,6,69.37980652,0,1,20,0,
192.168.1.223,192.168.40.20,15435,1883,6,42.91534424,0,1,20,0,
192.168.1.134,192.168.40.20,54998,1883,6,60.55831909,0,1,20,0,
192.168.1.192,192.168.40.20,12013,1883,6,77.72445679,0,1,20,0,
192.168.1.224,192.168.40.20,6427,1883,6,64.84985352,0,1,20,0,
192.168.1.93,192.168.40.20,13070,1883,6,79.39338684,0,1,20,0,
